id,title,region,release_date,platform,image_url
"","A Hole New World Soundtrack","2019-03-15","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/80870-1.jpg"
"","A Nightmare on Elm Street","1990-10-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1019-1.jpg"
"","A Nightmare on Elm Street: Son of a Hundred Maniacs (Demake)","Other","1999-11-20","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/105626-1.jpg"
"","A Ressha de Ikou","NTSC-J																		(Japan)","1991-08-21","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/20557-1.jpg"
"","A Winner is You: Sergio Elisondo Music","2016-10-03","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/78343-1.jpg"
"","Aa Yakyuu Jinsei Icchokusen","1992-12-25","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/20558-1.jpg"
"","Abadox: The Deadly Inner War","1989-12-15","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1501-1.png"
"","Action 52","1991-09-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1607-1.jpg"
"","Action 53 Volume 3: Revenge of the Twins","2018-06-06","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/80871-1.jpg"
"","Action 53 Volume 4: Actually 54","2020-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/80872-1.jpg"
"","Adam & Eve","1992-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/75998-1.jpg"
"","Advanced Dungeons & Dragons: Dragons of Flame","NTSC																		(Japan)","1992-02-21","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1020-1.jpg"
"","Advanced Dungeons & Dragons: DragonStrike","1992-07-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1503-1.jpg"
"","Advanced Dungeons & Dragons: Heroes of the Lance","1991-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1021-1.jpg"
"","Advanced Dungeons & Dragons: Hillsfar","1992-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1608-1.jpg"
"","Advanced Dungeons & Dragons: Pool of Radiance","1991-06-28","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1505-1.png"
"","Adventure","NTSC-U																		(United States of America)","2004-11-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/76525-1.jpg"
"","Adventure Island","NTSC-U																		(United States of America)","1987-09-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/32242-1.jpg"
"","Adventure Island 3","1992-07-31","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1509-1.png"
"","Adventure Island 4","NTSC																		(United States of America)","1994-06-24","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/109049-1.jpg"
"","Adventure Island II","1991-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1023-1.jpg"
"","Adventures of Bass 2","NTSC																		(United States of America)","2016-01-24","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/120120-1.jpg"
"","Adventures of Dino Riki","1987-02-10","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1511-1.png"
