title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"3D Interceptor","","PAL","","","","1970-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"3D Lunattack","","PAL","","","","1984-01-01","1","No","Shooter","Not Rated","No overview is currently available for this title, please feel free to add one."
"3D Maze of Gold","","PAL","","","","1983-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"3D Monster Chase","","PAL","","","","1983-01-01","1","No","Action","Not Rated","3-D Monster Chase is 1st person perspective maze game where the aim is to collect seven keys as well as defuse bombs while avoiding monsters. The maze is made up of three floors which can be moved between by lifts and each key must be found in order. Once you find key one you then have to take it back to your starting position which then places a bomb in the maze. The bomb needs to be defused in a period of time before it explodes or you lose one of three lives. Once the bomb has been defused then you must find key one again before you can find key two and this is the sequence the keys must be collected for all seven keys. As you search the maze, monsters start to appear and a monster keeps appearing after a period of time. If you are caught by a monster then a life is lost but you are armed with a limited amount of grenades to throw."
"3D Monster Maze","","PAL","","J.K. Greye Software","J.K. Greye Software","1982-01-01","1","No","Horror","Not Rated","3D Monster Maze puts the player in a maze with one exit and a hostile monster, the Tyrannosaurus rex. There, the player must traverse the maze, from the first-person perspective, and escape through the exit without being eaten."
"3D Monstruos","","PAL","Spain","","New Generation Software","1982-03-01","1","No","Action","E - Everyone","No overview is currently available for this title, please feel free to add one."
"3D Pacman","","PAL","","","","1982-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"3D Painter","","PAL","United Kingdom of Great Britain and Northern Ireland","CDS Software Ltd","","1983-01-01","1","No","Action","E - Everyone","Guide your stick-man to paint the mazes, whilst avoiding the other stick-man. There are four mazes to complete, but you only have one life!"
"3D Pool","","Region Not Set","","Firebird Software Ltd.","","1989-01-01","2","No","Sports","Not Rated","No overview is currently available for this title, please feel free to add one."
"3D Seiddab Attack","","Region Not Set","","","","1984-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"3D Space Wars","","PAL","","","","1983-01-01","1","No","Action","Not Rated","The first game to star the evil Seiddab, 3D Space Wars gives exactly what the title promises. As soon as you warp into outer space, your cockpit screen is filled with alien spaceships which must be shot down, for you are mankind's last hope, armed with the Earth's only remaining battle spaceship.

Gameplay is arcade-oriented, with few cockpit gauges and displays to keep in mind. The three cockpit instruments are your radar, speed readout and fuel meter. You run out of fuel when you fire your phasors and when you are hit by enemy fire. You can replenish your fuel by docking with the fuel station which comes into view from time to time. Once all Seiddab spacecraft in the area are destroyed, you warp into the next zone.

This was the first commercial game by Steve Turner (Spectrum) and Andrew Braybrook (Dragon)."
"3D Speed Duel","","PAL","","","","1983-01-01","1","No","Racing","Not Rated","No overview is currently available for this title, please feel free to add one."
"3D Starstrike","","Region Not Set","","Realtime Games Software Ltd.","Realtime Games Software Ltd.","1984-06-07","1","No","Action | Shooter","","The Outsiders have attacked the Earth Federation, laying waste to its defense fleets. In desperation, Federation Command sends the new Starstrike space fighters to attack the Outsiders's main bases (which are converted moons), hoping to exploit a fatal flaw in the design: a direct hit to the reactor at the center of the base might lead to its destruction."
"3D Starstrike II","","PAL","","Realtime Games Software Ltd.","","1986-01-01","1","No","Shooter","Not Rated","After the failure of the Outsiders' invasion plans (in STARSTRIKE) the aliens retire to their homeworlds to rebuild their strength. The Federation decides to launch a pre-emptive strike and sends in a new model starfighter, the Starstrike II, piloted by (guess who?) you..."
"3D Stock Car Championship","","Region Not Set","","Firebird Software Ltd.","ACE Software","1988-10-02","","No","Racing","","This Super Sprint-inspired racing game uses a forced perspective viewpoint, with 4 small stock cars duking it out for anything between 1 and 99 laps. If you have an Interface II joystick adaptor, all 4 of these can be human controlled."
"3D Stock Cars 2","","Region Not Set","","Challenge Software","ACE Software","1992-10-01","2","No","Racing","","Arcade: Race 'n' Chase"
"3D Strategy","","PAL","","","","1982-01-01","1","No","Strategy","Not Rated","No overview is currently available for this title, please feel free to add one."
