title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"428: Shibuya Scramble","","NTSC-U","United States of America","Spike Chunsoft","Spike Chunsoft Co., Ltd.","2018-09-04","1","No","Adventure","T - Teen","A kidnapping on the streets of Shibuya brings together a hot-blooded detective, hard-hitting journalist, former gang leader, the head researcher of a big pharma manufacturer, and a part-timer stuck in cat costume for a series of events each more unexpected and outrageous than the last. Can they--or the city itself--make it through the day?

A Mosaic of Mediums – Unlike traditional visual novels, the narrative is presented with a palette of different mediums, combining text, live action stills, and video sequences.

Non-linear Storytelling – Five Protagonists. 10 Hours. Decisions made in one character’s story can affect the story of another character in unforeseen ways, culminating in a total of over 50 different endings!

Real-Life Shibuya, Tokyo – Engaging text combines with immersive live action stills and video sequences to bring you into the heart of Shibuya’s famous scramble crossing and into the intricate plot that unfolds!"
"7 Days to Die","","NTSC","United States of America","Telltale Games","Iron Galaxy Studios | 																The Fun Pimps","2016-06-28","4","Yes","Action | Adventure | Construction and Management Simulation | Shooter | Horror","M - Mature 17+","Set in a brutally unforgiving post-apocalyptic world overrun by the undead, 7 Days to Die is an open-world game that is a unique combination of first person shooter, survival horror, tower defense, and role-playing games. It presents combat, crafting, looting, mining, exploration, and character growth, in a way that's completely new to the survival game genre.

Explore – Huge, unique and rich environments, offering the freedom to play the game any way you want.

Craft – Craft and repair weapons, clothes, armor, tools, vehicles, and more.

Build – Take over a ruin, or build from the ground-up. Design your fortress to include traps and defensive positions to survive the undead - the world is fully destructible and moldable.

Cooperate or Compete – Includes two player split screen mode, with support for up to 4 players online, in Player versus Player, co-op survival, or co-op creative modes."
"7th Sector","","NTSC","United States of America","Sometimes You","Sometimes You","2020-02-05","1","No","Puzzle | Platform","T - Teen","No overview is currently available for this title, please feel free to add one."
"8 to Glory","","Region Not Set","","THQ Nordic","","2018-11-02","2","No","Sports","E - Everyone","Experience the thrill of the ride on the PlayStation 4 with 8 to Glory. The local multiplayer versus mode lets you challenge friends, and the campaign mode lets you simulate the 25th PBR Premier Series by competing in events. The booster pack in 8 to Glory rewards you with gear and equipment to customize riders.


The only officially licensed video game of the PBR

Follow the real 25th PBR Premier Series season, and compete in all 27 events spanning across the US, ending at the PBR World Finals in Las Vegas

Collect riders from around the globe with Brazil, Australia, Canada, Mexico, and the US all being represented by top riders

Chose your rider, and compete week to week in pursuit of the coveted World Champion title

Collect gear, and upgrade cards to take your favorite rider to their peak of performance

Cover the bulls in Season mode to unlock them for play

The booster pack system rewards you with gear to outfit your rider and boost your statistics

Unlock new riders, and seriously bump up their statistics by using Rider Level cards

Match up against a friend in local multiplayer versus mode

One player controls the rider, while the other controls the bull

Single-player season campaign"
"8-Bit Adventure Anthology: Volume 1","8-Bit Adventure Anthology: Volume One","NTSC-U","","Limited Run Games","Abstraction Games","2017-10-31","1","No","Adventure | Puzzle","E10+ - Everyone 10+","8-bit Adventure Anthology is a compilation featuring faithful remakes of three of the best 8-bit point & click adventure games ever made. Originally released between 1987-1991, each stand-alone adventure features the same mind-blowing puzzles, graphics and music that mesmerized generations of console gamers!"
"8-Bit Armies","8 Bit Armies","NTSC","United States of America","Soedesco","Petroglyph Games","2018-09-21","2","Yes","Strategy","E10+ - Everyone 10+","8-Bit Armies is Petroglyph's first game in the 8-Bit RTS series. It commemorates the first Command & Conquer games with its accessible gameplay mechanics while providing a fun and timeless art style that introduces new players to the genre. A unique console controller scheme makes it easier than ever to build bases and command large armies without complex button memorization.

FEATURES:
* Jump right in with easy to understand modern military units and structures.
* Play cooperatively or versus the AI choosing from multiple difficulty options.
* Use classic RTS Base-Building mechanics to construct the ultimate HQ from which to attack your foes.
* Explore a variety of locales, destroying everything that gets in your way with devastating superweapons.
* Two campaigns with a total of 40 single-player combat missions for many hours of gameplay.
* Join your friends to play 12 co-op missions against a variety of AI opponents.
* Gather up to 8 online players to team up in one of the dozen multiplayer/skirmish maps."
"8-Bit Armies [Limited Edition]","8 Bit Armies","NTSC","United States of America","Soedesco","Petroglyph Games","2019-02-01","1","No","Strategy","E10+ - Everyone 10+","Limited Edition Includes: 
-Base game
-Manual
-Soundtrack
-Skull bandana
-Flag
-3 precious pins
-Patch
-12 postage stamps
-Paper-craft tank
-Dog tag"
"8-Bit Hordes","8 Bit Hordes","NTSC","United States of America","Soedesco","Petroglyph Games","2019-02-01","1","No","Strategy","E10+ - Everyone 10+","From the team that brought you 8-Bit Armies comes a new fantasy RTS as fast-paced and friendly as the original! 8-BIT HORDES is a colorful strategy-arcade game that is easy to learn for players of all skill levels. Collect resources, build up and defend your base, amass your army of orcs or humans and ultimately crush your opponents! 8-Bit Hordes features offline single-player missions, two-player cooperative missions, AI skirmish mode, and Player-vs-Player Multiplayer modes running on dedicated game servers."
"8-Bit Invaders!","","NTSC","United States of America","Soedesco","Petroglyph Games","2019-02-26","2","Yes","Strategy","E10+ - Everyone 10+","The invasion has begun! 8-Bit Invaders! is a fast-paced, sci-fi RTS game. Control the military might of the Galactic Marine Corps or invade with the extraterrestrial Cranioids. You can even let your futuristic troops battle against the fiery dragons of 8-Bit Hordes or the crushing tanks of 8-Bit Armies in cross-title multiplayer. Whether you side with the aliens or robots, 8-Bit Invaders! is fun for beginners and hardcore gamers alike. Conquering the Multiverse was never so easy!

Features:
Play cross-title multiplayer between 8-Bit Invaders!, 8-Bit Hordes, & 8-Bit Armies
Fight alone in single player campaign or battle with a buddy in co-op missions
Test your skills in Online Multiplayer or against the AI in in skirmish battles
Get hyped up by the rocking soundtrack by composer Frank Klepacki"
"88 Antarctica","","NTSC","United States of America","Unknown","Unknown","2023-05-01","1","No","Action | Shooter","T - Teen","IN this scary game you will find yourself in the ice of Antarctica, where you can immerce into a terrible sci-fi story full of monsters, weapons and adventures."
"88 Heroes","","PAL","","Rising Star Games","Bitmap Bureau","2017-03-28","1","No","Action | Platform","Not Rated","European  PAL version"
"8Days","8DAYS: Peace Is Our Bussiness","NTSC","","Badland Games","","2017-02-07","2","Yes","Action | Shooter","M - Mature 17+","The world has been dominated by dark forces since the beginning of human history. Known as the Masters of Mankind by those directly under their control, these forces will use any means necessary to protect their own interests including starting wars.In 8DAYS the mercenary company G.O.D. (Gold, Oil, and Diamonds, Inc) and the 8DAYS Magazine are two modern instruments used to control the masses. G.O.D. is primarily a peacekeeping force and 8DAYS ensures the bias of public opinion. In 8DAYS players take on the role of Lola “Wasp” and Mike “Ghost”"
