title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Clutch Hitter","","Region Not Set","","Sega","Sega","1991-01-01","2","No","Sports","","Clutch Hitter is a Sports game, developed and published by Sega, which was released in 1991."
"Columns","","NTSC-U","United States of America","Sega of America, Inc.","Sega R&D2","1991-04-26","2","Yes","Puzzle","E - Everyone","Columns is a 1991 Game Gear video game developed by Sega R&D1 and released by Sega of America in the USA on April 26, 1991.

It will challenge your mind, not just your trigger finger!

Drift back in time to ancient Phoenicia and challenge yourself with Columns, an addictive game played by Middle Eastern merchants centuries ago. In this mesmerizing pastime, tinker with your riches to align glittering jewels across, down, or diagonally.

As you line up colors, the gems vanish and more sparklers drop from above. The challenge increases as jewels fall more rapidly. You must quickly align them before the columns reach the top. For additional challenge, try Flash Columns, where you must make the flashing jewel disappear before your time runs out.

• With 3 degrees of difficulty and 10 different levels, Columns will challenge a novice to an expert.
• 3 musical backgrounds to choose from.
• 5 types of blocks to manipulate.
• The 2-player option puts you head-to-head against a friend with the Gear-to-Gear cable."
"Cool Spot","","NTSC-U","United States of America","Virgin Interactive Entertainment, Inc.","Virgin Interactive Entertainment","1993-10-01","1","No","Platform","E - Everyone","Charge, blast, and hurdle through this fun and frantic adventure without losing your cool - or your shades! As COOL SPOT, you'll stop at nothing to rescue your SPOT buddies when they get snatched by powers uncool! Shoot the curl, get loco on a runaway train, and whip through a stomach-dropping rollercoaster ride in a carbonated quest to chill out your foes! Graphics so hot - you'll need your own shades!"
"Cosmic Spacehead","","Region Not Set","","Codemasters","Supersonic Software Ltd.","1993-01-01","1","No","Adventure","","Cosmic needs your help! He has no money, no car, and no respect from his fellow Cosmonaut's! The trouble is, no one believed his tale of discovering a far away planet called ""Earth"" so it's your job to help him get back there and take some handy snaps! Starting from his home town Old Lino Town, it's Cosmic gameplay all the way in a unique blend of adventure and arcade action plus a whole galaxy of surprises thrown in!"
"Crayon Shin-chan: Taiketsu! Quantum Panic!!","","Region Not Set","","Bandai Co., Ltd.","Minato Giken","1995-02-24","2","No","Action","","Crayon Shin-chan: Taiketsu! Kantamu Panic!! (クレヨンしんちゃん 対決！カンタムパニック！！) is an action game for the Sega Game Gear released only in Japan. It is based upon the Crayon Shin-chan anime."
"Crazy Faces","","Region Not Set","","Domark Group Ltd.","The Kremlin","1993-01-01","1","No","Puzzle","Not Rated","Crazy Faces is a Puzzle game, developed by The Kremlin and published by Domark, which was cancelled before it was released."
"Crystal Warriors","","NTSC-U","United States of America","Sega of America, Inc.","Sega CS R&D 2","1992-04-01","2","Yes","Role-Playing | Strategy","E10+ - Everyone 10+","Crystal Warriors is a 1992 Game Gear video game developed by Sega CS2 and released by Sega of America in the USA on April 1, 1992.

The continent of Tyramus has lived in peace for almost a century, thanks to the four elemental crystals of the kingdom of Arliel. However, peace is threatened by the invading armies of the Jyn Empire, led by Emperor Grym, who wants to use the four crystals to rule over Tyramus. Fortunately, Princess Iris can escape with one of the crystals and now the player has to protect her and the crystal and somehow find a way to drive back the hordes of Jyn.

Gameplay in Crystal Warriors is quite similar to Shining Force. The player fights in turn-based battles controlling different characters like fighters, healers, rangers and mages, all with different strengths and skills. Whenever two units engage in battle, they enter a duel mode lasting for up to two turns. In this mode the player can choose between four commands: ""battle"" (attack), ""retreat"", ""spell"" and ""monster"". While the first three commands are quite self-explanatory, the ""monster"" command is interesting. Whenever a non-human enemy is defeated, it can be tamed and be used in battles. While most monsters do not have many HP they can serve as good attackers for physically weak characters or take some hits in order to protect his master. In-between battles the player can visit towns to rest, buy weapons and spells or recruit new party members."
"Cutthroat Island","","Region Not Set","","Acclaim Entertainment, Inc.","Software Creations","1995-01-01","1","No","Action","E - Everyone","Sharpen your long swords for the ultimate high seas battle! In plundering two-player action, team up as Morgan and Shaw to uncover a treasure trove of priceless gems and gold bullion! Battle bloodthirsty pirates with knives, pistols and flaming torches!"
"Daffy Duck in Hollywood","","Region Not Set","","Sega","Probe Entertainment","1994-01-01","","No","Platform","","Presenting the world famous Daffy Duck P.I. Armed with your lethal bubble gun, search the Hollywood film sets for Yosemite Sam's Golden Cartoon World Movie Awards and the despicable Mad Professor Duck Brain."
"Daisenryaku G","","Region Not Set","","SystemSoft","SystemSoft Alpha","1991-09-28","","No","Strategy","","Daisenryaku G is a Strategy game, developed and published by SystemSoft, which was released in Japan in 1991."
