title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Flappy McFur","","Region Not Set","","","BitJag","2016-11-15","1","No","Platform","","You may think that this is just another Flappy Bird clone, and well, you may be right. Regardless, the already well known format has been expanded by BitJag into four different play modes, offering players more replayability. Also, a set of 15 awards are ready to be unlocked. With just a sprinkle of a story added, Flappy McFur is an addicting experience that you can only find on the Atari Jaguar.

Flappy McFur follows the popular arcade “Runner” genre. Simply control Flappy McFur in such a way to avoid hitting the pipes and ground. You receive pipe points when you successfully pass a set of pipes, and you receive coin points when you collect a coin. Collecting pipe points and coin points will allow you to finish the game, and unlock awards."
"Flashback: The Quest for Identity","","Region Not Set","","U.S. Gold Ltd.","Delphine Software International","1995-07-01","1","No","Adventure","E - Everyone","You're Conrad B. Hart, Galaxis Bureau of Investigation Agent and right now you're stranded on a far-away planet after discovering an alien plot to overtake Earth. You must travel and find your way through four planets back to Earth and foil the aliens' sinister and deadly plans.

The award winning sci-fi action adventure comes to Jaguar. And it's gonna rip you right out of your comfortable little century and hurl you smack into a time and place that'll have you begging for a nap!

-Film-style, fluid 24 frames-per-second animation and gives life-like movements to this wild action game.

-You star as super-agent Conrad Hart, stranded on a far-away planet after you discover an alien plot to overtake Earth."
"Flip Out!","","Region Not Set","","Atari, Inc.","Gorilla Systems Corporation","1995-01-01","1","No","Puzzle","","Congratulations Earthling! The Citizens of Planet Phrohmaj have invited you to join their Great Tile Flipping Festival, an honor of the highest sort. Tile flipping influences their customs, their eating habits, and even their vacations. Solve maddening puzzles while watching for the mishievous aliens who think confusing you is part of the fun. If they weren't so cute you'd wring their necks...if they had them."
"Flying Shark","","NTSC","","","","2015-12-11","1","No","Shooter","E - Everyone","Flying Shark is an Atari ST port made playable on the Atari Jaguar."
"Frog Feast","","Other","","OlderGames","Charles Doty | 																RasterSoft","2007-08-20","2","No","Action | Unofficial","Not Rated","The latest offering developed by Charles Doty of RasterSoft: FROG FEAST. This game, a tribute to classic gaming, was developed entirely from the ground up with a focus on fun, replay value, and a true love for making a great game.

Control one or two frogs as you jump above the lily pads and entangle as many flies as you can using your amphibious tongue.

The game is played in rounds after which your score is calculated. Catch the most flies to win!"
"Ghouls'N Ghosts","","NTSC","","","","2015-12-11","1","No","Action","E - Everyone","Ghouls'N Ghosts is a Atari ST port made playable on the Atari Jaguar."
"Hover Strike","","Region Not Set","","Atari, Inc.","Atari","1995-04-01","1","No","Shooter","Not Rated","Terrakian Pirates have taken over a colonized planet under Federation control. They've set up an atmospheric cannon, making invasion impossible. Your job, as a hovercraft pilot, is to launch a pre-emptive strike on the planet's surface.

Hover Strike for the Jaguar is a mission-based tank game. In each mission, you will drop to the surface of the planet, destroy some targets, and then return to your ship in orbit. The hovercraft you pilot is heavily armored and includes various weapons systems to take out enemies and targets."
"Hyper Force","Hyperforce","Region Not Set","","Songbird Productions","Visual Impact","2000-08-04","1","No","Action","","It's Just You, Your Gun, and a Corporate Army Bent On Your Destruction.

Trans Con is decimating world after world in search of enough resources and wealth to launch an attack against the Terran High Command. The politicians don't want a direct confrontation that might hurt their corporate sponsors. So, Interstellar Special Forces has been called in to send a lone warrior to eliminate the Trans Con threat. Wanna guess who that warrior is?

Features:
-More than 20 levels of intense action!
-ISF Supply Shop allows you to upgrade 5 different weapons
-Secret areas and hidden switches
-Parallax scrolling
-Incredible in-game music!
-Saved game support with three game slots"
"I-War","I War | IWar","Region Not Set","","Atari, Inc.","Imagitec Design Inc.","1995-01-01","","No","Action","","I-War is a 3D virtual reality tank game. In each of the 21 levels, you must find all the data pods and make your way to the exit. Enemy tanks, turrets, and bombers stand in your way, as well as occasional traps or locked doors controlled by hidden switches. Levels are divided into simple, enclosed rooms, linearly connected by one-way teleporters."
"Impossamole","","NTSC-U","United States of America","Piko Interactive LLC","?","2019-04-15","1","No","Platform | Unofficial","Not Rated","Monty Mole has been living in luxury since his previous adventures, but he has now been beamed up by an alien race who want him to do a job for them. Monty must trek through five worlds to retrieve the sacred scrolls of the race's Guardians.

The platform-based gameplay is similar to Monty's earlier games, with primarily horizontal progresses as well as ropes and ladders to navigate. Monty has developed a useful flying kick, and has been given a smart bomb, with the potential to collect extra bombs and guns. Hazards, enemies and level designs are themed around each level, and range from cable cars and falling snowballs to Ninjas and Monkeys.

Improvements have been done to the music and the gameplay for a better user experience."
"Impulse X","","Region Not Set","","","MD Software","2011-11-19","1","No","Action","","Impulse X is a Breakout-like game, it's a port of Duranik's Impulse for the Atari Falcon. 
Use the bat to control a ball to clear 40 play fields full of bricks. 
Some bricks release Power Ups when destroyed, but beware of the nasty enemies!"
"Impulse X / Double Feature","","Region Not Set","","Songbird Productions","MD Software","2020-07-19","2","No","Puzzle","Not Rated","Another amazing multi-cart for your Jaguar system! Includes Impulse X and Double Feature #1.

Impulse X

Destroy all the bricks in the 40 different playfields using only your bat and ball
Ball bounces off the edges of the playfield, but don’t let it slip past your bat!
Create your own playfields using a built-in editor
Compete worldwide with your high score webcode!
Support for Jaguar controller, ProController, mouse, or rotary controller
Double Feature #1:

ConnectThem: Players take turns dropping pieces into a 6×7 grid. Be the first to form a line of four pieces to win the game!
Reversi: Players take turns placing pieces on the 8×8 grid in an attempt to capture as many enemy pieces as possible. Dominate the grid and win the game!"
"International Sensible Soccer","Sensible Soccer - Internationsal Edition","Region Not Set","","Telegames, Inc.","Sensible Software","1994-05-27","2","No","Sports","E - Everyone","Released alongside the 1994 World Cup, this was the first version of Sensible Soccer to feature teams from outside Europe. The World Cup tournament is featured in full, and you can adjust which 24 teams this features, a particularly crucial feature for English and French fans, as their nations failed to qualify. For the first time in the series an on-screen referee is featured. The club team data has been updated to take into account transfers and kit changes since the previous version. Gameplay is much the same as previous editions, being viewed from above with small sprites and loose ball control."
"Iron Soldier","","Region Not Set","","Atari, Inc.","Eclipse Software","1994-01-01","","No","Action","E - Everyone","Iron Soldier is a mech sim played from an in-cockpit view. There are 16 single player missions. Objectives involve taking out certain targets, defending convoys, collecting items, and so on.
It is the future, and the earth has been covered with wastelands and cities. The powerful, faceless Iron First Corporation has replaced the last forms of free government. Now, they are developing a new, 42-foot, armed robot known as the Iron Soldier. With the Iron Soldier, no one will be able to stop the Iron First Corporation. The only hope is the Resistance, a group that has managed to capture one of the Iron Soldier prototypes. You are a pilot for the Resistance. It's up to you to pilot the robot and bring down the Iron Fist."
"Iron Soldier 2","","Region Not Set","","Telegames, Inc.","Eclipse Software","1997-05-27","1","No","Action","T - Teen","Iron Soldier 2 is a first-person 3D giant mech game. Players must pilot their building-sized robots in a variety of missions ranging from search-and-destroy to surgical attacks to defending objectives. Starting with a limited set of weapons, players can collect more armaments throughout the game. Each weapon can be mounted on a certain part of the robot's body, but once mounted, no other weapons can be placed there. So, while there is a wide range of weapon configurations, not every weapon can be combined with others. Players can destroy buildings in levels to find crates containing new weapons and extra ammunition for current weapons."
"JagZombies","","Region Not Set","","Good Deal Games","Wave 1 Games","2018-01-01","1","No","Shooter | Horror","Not Rated","An unknown virus outbreak started when bats migrated from South America and bit a man. The symptoms of this virus killed the man, but approximately 48 hours later the man came back from the dead! He began feeding on the living, killing them and transferring the unknown virus creating zombies out of each victim. Since he started spreading the virus there are now hundreds of zombies walking the streets. He is patient zero, and the main carrier of the virus. He is the BAT LORD. You must track him down and destroy him to put an end to this epidemic!"
"Jeff Minter Classics","","Region Not Set","","AtariAge","AtariAge","2018-04-01","1","No","Action","Not Rated","For the first time on the Atari Jaguar, experience Jeff Minter's classic games ""Llamatron 2112"" and ""Revenge of the Mutant Camels"". Both games have been brought to the platform with the full blessing of Jeff Minter himself and are contained on a single cartridge."
"Kasumi Ninja","","Region Not Set","","Atari, Inc.","Hand Made Software","1994-01-01","2","No","Fighting","M - Mature 17+","ALL HELL IS ABOUT TO BREAK LOOSE
Stop the Evil Ninja Lord Gyaku from opening the Dragon Cloud temple's portal to Hell and unleashing his demon minions upon Kasumi Island and the world. Battle it out in this bloody brawler in 1 Player Story mode or Two Player versus mode as one of the 8 all-time greatest warrior-fighters. Gain fighting skill and master special moves from bout to bout as you journey through the Underground Labyrinth to the Dragon Cloud temple where you'll face your ultimate opponent: The Evil Ninja Lord Gyaku himself!"
"Kings Of Edom","","NTSC","","","","2021-10-26","1","No","Adventure","E - Everyone","Kings of Edom is a fantasy adventure that places you as the lone hero exploring twelve levels of mazes in your quest to find the lost crowns. Each game is unique, as an ancient spell causes the maze to bend and swirl into a new challenge when you start a new game. Monsters and traps will hinder your journey, while treasures of steel and magic will allow you to grow in might. The goal of the game is to retrieve 11 lost crowns, which will require many journeys through the dungeon. Once you have all the crowns, find the white star and perform the ritual to honor the kings."
"Loopz","","Region Not Set","","Songbird Productions","Songbird Productions","2018-11-01","2","Yes","Puzzle","Not Rated","Songbird Productions is pleased to bring you LOOPZ for the Atari Jaguar!

It’s really very simple: you get pieces of different sizes and shapes. Then you have to fit them together to form complete loops. It’s so simple, in fact, that most people can easily finish their first session in… oh… five to ten hours.

But by then you’re addicted.

Features:

Three enthralling one-player games
Two two-player modes, cooperative and competitive
Ten tortuous levels
Two bonus games
LOOPZ will tie you up in knots!

BONUS: Every copy of Loopz for the Jaguar includes a hidden game, Jagtris 2018! To access this game, simply hold Option while booting Loopz.

JagTris 2018 is an enhanced version of the falling block classic, originally coded by 42BS back in the 1990s but never published until now. Bastian has upgraded the game with superior controls, graphics, and scoring. It even supports the ProController for rotating blocks clockwise or counterclockwise!"
