title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Angelique Duet","","NTSC-J","Japan","Koei Co., Ltd.","KOEI Co., Ltd.","1998-07-30","1","No","Life Simulation","E - Everyone","Angelique is a series of ""neo-romance"" games by Koei from Ruby Party with character designs by shoujo manga artist Yura Kairi and music by Kuzuu Chinatsu. The gimmick is that it the games are by women for women. To find out more about Angelique and Koei, click here.

You play a teenage girl named Angelique who has been chosen by Queen Angelique (all the Queens seem to be named Angelique) and her aide Dia as one of two candidates from the Royal Smorny Girls Academy to become the next Queen. You are transported to the Flying City to begin your final examination.

Each of you is given a land to populate. Whoever finishes populating their land first wins and becomes the next Queen. You do this with the help of nine Guardians who use their powers to make your people happy, or to devastate your rivals. Along the way, you become friends with the Guardians and can fall in love. If you choose love, you forfeit your chance to become Queen, but you live happily ever after.

Angelique Duet allows the player to choose the usual heroine, Angelique Limoges, or her rival Rosalia de Catargena, as the main character. The game was released in 1998 for the Playstation & Saturn consoles and in 2006 for the Nintendo DS.

A remake of the Super Famicom Angelique was released recently for PS and SS. This one features the ability to play as Rosalia, new date events, new graphics, and new animation. It also comes with nine bookmarks of the Guardians, and stickers with the SD characters. Simultaneously the ""Premium Box"" version was released which comes with a music box that plays the Love-Love Ending (LLED) song ""Love Ballad"", and a special comic, in addition to the bookmarks and stickers.

  Manufacturer's description:

Angelique and was elected to the queen candidates, exam simulation training will love the planet, while rival Rosalia and the help of a male patron Saint of 9 people. Can enjoy the romance with our patron Saint, or whether they choose to love and to choose the way of the Queen has become a player soon.

The big change is that this work was made possible play rivals in the work falls on a remake of ""Angelique Special"", in previous work could not, in Rosalia. In addition to that, and now you can go to the location adds a number of special events, different from usual, so that you can see the ending of a particular scene or add features at any time in the album.

Graphics, audio, animation, etc. are all renewed, significant improvements have been subjected to. In the real thrill of this game I enjoyed many times in a multi-ending, that are provided and ending with our Holy Guardian that are provided to each ending did not get and ending, nine become queen, Ending variety."
"Angelique Special","アンジェリーク","Region Not Set","","Koei Co., Ltd.","KOEI Co., Ltd.","1996-03-29","1","No","Life Simulation","E - Everyone","The universe is ruled by a queen, all planets are in their balance... but now, the power of the queen is weakening, and the universe is under the danger of destruction... a new queen is needed...

One day, Angelique Limoges, saw something in the sky... someone riding on a horse in the sky. None of her friends saw it... she is the only one who saw it, the chosen one--- the candidate of the Queen. Another candidate was Rosalia-De-Catargena. Both of them come to the Holy Land, where the Queen lives..."
"Angelique Special 2","アンジェリークSpecial 2","Region Not Set","","Koei Co., Ltd.","KOEI Co., Ltd.","1997-04-04","1","No","Life Simulation","E - Everyone","Second installment in the series. Angelique Collet, a girl who lives in the cosmos that the heroine of the first game now rules, is chosen as a queen candidate for a new cosmos. The count of male characters increases to include the nine Guardians, as well as three Tutors and three Collaborators."
"Another Memories","アナザー・メモリーズ","Region Not Set","","Starlight Marry Corporation","Starlight Marry","1998-07-02","1","No","Adventure","E - Everyone","The main character spends two years enrolling in the Madou Academy in the fantasy world. A game that deepens exchanges with classmates and seniors and juniors at the academy until graduation. Since it uses pastel graphics, the game screen has a different atmosphere from ordinary anime-like color game screens."
"Aqua-World: Umi Monogatari","","Region Not Set","","Masudaya","Mizuki","1996-07-12","1","No","Construction and Management Simulation | Life Simulation","E - Everyone","No overview is currently available for this title, please feel free to add one."
"Aquazone Desktop Life","","Region Not Set","","9003","9003","1996-07-12","1","No","Construction and Management Simulation | Life Simulation","E - Everyone","No overview is currently available for this title, please feel free to add one."
"AquaZone Option Disk Series 1: Angel Fish","","Region Not Set","","","9003","1996-12-06","1","No","Utility","Not Rated","No overview is currently available for this title, please feel free to add one."
"AquaZone Option Disk Series 2: Black Molly","","Region Not Set","","","9003","1996-12-06","1","No","Utility","Not Rated","No overview is currently available for this title, please feel free to add one."
"AquaZone Option Disk Series 3: Blue Emperor","","Region Not Set","","","9003","1996-12-06","1","No","Utility","Not Rated","No overview is currently available for this title, please feel free to add one."
"AquaZone Option Disk Series 4: Clown Loach","","Region Not Set","","","9003","1996-12-06","1","No","Utility","Not Rated","No overview is currently available for this title, please feel free to add one."
"AquaZone Option Disk Series 5: False Rummy","","Region Not Set","","","9003","1996-12-06","1","No","Utility","Not Rated","No overview is currently available for this title, please feel free to add one."
"Arcana Strikes","","Region Not Set","","Takara","Red Company | 																Takara","1997-12-11","1","No","Strategy","E - Everyone","No overview is currently available for this title, please feel free to add one."
