title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Kingdom: The Far Reaches","","Region Not Set","","Philips Interactive Media, Inc.","Capitol Disc Interactive","1994-01-01","","No","Adventure","","Venture into a fully-animated game world of wizards and specters, of bright steel and dark magic, of heroic deeds and base treacheries. You are Lathan, striving to restore an amulet of great power - now scattered throughout three kingdoms - and defeat the evil Torlock, whose reign of terror has vanquished your homeland. Collect items of power and magic, learn clues to determine friend from foe and strive to return Princess Grace Delight to the throne, as every move you make opens new vistas of awesome animation and the chance to conquer The Far Reaches!"
"L'ange et le démon","","PAL","France","Philips Interactive Media of America","","1992-04-01","1","No","Adventure","Not Rated","In the deserted Mont-Saint-Michel, on the ramparts, from the village to the abbey, you will have to search the sword of the angel stolen by the forces of evil. Alone or in family, you discover your way through the maze of alleys and corridors to the bell tower of the abbey, theater of the ultimate battle between the angel and the devil.
2500 photographs, 250 sound and musical sequences, animated monsters and a large number of interactive puzzles await you for your pleasure."
"Labyrinth Of Crete","","Region Not Set","","Philips Interactive Media, Inc.","Funhouse","1994-01-01","","No","Puzzle","","No overview is currently available for this title, please feel free to add one."
"Laser Lords","","Region Not Set","","Philips Interactive Media, Inc.","Spinnaker Software Corporation","1992-04-03","1","No","Action","","Fasten your star-belts, you're in for a bumpy ride! Aboard the Laser Lords star cruiser, you will explore Argos, a vast military/industrial complex, Woo, the idyllic Taoist garden planet, and Hive, with its famous anti-gravity chambers. Zendo is your mentor. He will guide you to build strength and skills and amass weapons, documents and information. There are seven alien worlds in all - a mind-boggling galaxy of computer graphics, computer and clay animation, and digital sound.

You'll need everything you can muster to vanquish the Star Lord Sarpendon and destroy the Voidal Implosion Engine!"
"Lemmings","","Region Not Set","","Philips Interactive Media, Inc.","DMA Design Limited","1994-01-01","","No","Puzzle","","A unique mind-boggling game of multiple skill levels. Take command of the wackiest collection of misdirected rodents ever seen on your screen. Featuring fantastically animated graphics and simple yet addictive gameplay."
"Lettergreep","","Region Not Set","","Philips Interactive Media, Inc.","Wigant Interactive","1996-01-01","","No","","","No overview is currently available for this title, please feel free to add one."
"Lingo","","Region Not Set","","Philips Interactive Media, Inc.","SPC Vision","1994-01-01","","No","Puzzle","","No overview is currently available for this title, please feel free to add one."
"Link: DE GEZICHTEN VAN HET KWAAD","Link: The Faces of Evil","PAL","Netherlands","Philips Interactive Media, Inc.","Animation Magic","1993-10-10","1","No","Action | Adventure","Not Rated","Ganon and his minions have seized the peaceful island of Koridai and imprisoned Zelda. It is written, ""Only Link can defeat Ganon."" To do so, he must conquer the hideous Faces of Evil...Each more diabolic than the one before. Against all odds, Zelda must be freed and Koridai returned to harmony. This fast-paced action adventure game features 70 playfields. From the friendliest to the meanest, 90 astonishing character will talk to you in full animation. Encounter the spear-throwing Molblins, rock-spitting Octoroks and much more.

Dutch version."
"Link: The Faces of Evil","","NTSC-U","","Philips Interactive Media, Inc.","Animation Magic","1993-10-10","1","No","Action | Adventure","Not Rated","Ganon and his minions have seized the peaceful island of Koridai and imprisoned Zelda. It is written, ""Only Link can defeat Ganon."" To do so, he must conquer the hideous Faces of Evil...Each more diabolic than the one before. Against all odds, Zelda must be freed and Koridai returned to harmony. This fast-paced action adventure game features 70 playfields. From the friendliest to the meanest, 90 astonishing character will talk to you in full animation. Encounter the spear-throwing Molblins, rock-spitting Octoroks and much more."
"Litil Divil","","Region Not Set","","Philips Interactive Media, Inc.","Gremlin Ireland","1994-01-01","","No","Action","","Litil Divil is a video game released by Gremlin Interactive in 1993. The player takes control of a little red devil called Mutt who is trying to escape from a dungeon. The dungeon consists of a maze maneveured through from an over-the-shoulder perspective and rooms where Mutt is facing various riddles. The character was created by a student from Cann Hall Primary School as part of a nationwide competition. The schoolboy, William Cummings, received the first copy of the finished product as a reward for winning the competition."
